genes,Description
Nbe.v1.s00010g00670,Glycosyl hydrolase family 9
Nbe.v1.s00010g00680,"Serine/threonine phosphatases, family 2C, catalytic domain"
Nbe.v1.s00010g00690,Leucine Rich repeat
Nbe.v1.s00010g00700,Long chain acyl-CoA synthetase
Nbe.v1.s00010g00710,Mitochondrial inner membrane protein
Nbe.v1.s00010g00720,Anaphase-promoting complex subunit 11 RING-H2 finger
Nbe.v1.s00010g00740,Conserved gene of
Nbe.v1.s00010g00760,isoform X1
Nbe.v1.s00010g00770,isoform X1
Nbe.v1.s00010g00780,Pleckstrin homology domain.
Nbe.v1.s00010g00790,NDK
Nbe.v1.s00010g00800,RmlD substrate binding domain
Nbe.v1.s00010g00810,Lipase (class 3)
Nbe.v1.s00010g00820,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g00830,Late embryogenesis abundant protein
Nbe.v1.s00010g00840,Phosphatidylinositol 4-kinase gamma 4-like
Nbe.v1.s00010g00850,GDSL esterase lipase
Nbe.v1.s00010g00860,Peptidase family M41
Nbe.v1.s00010g00870,SnoaL-like domain
Nbe.v1.s00010g00880,-
Nbe.v1.s00010g00890,RNA polymerase II transcriptional coactivator KELP
Nbe.v1.s00010g00910,Glutaredoxin
Nbe.v1.s00010g00920,DCD
Nbe.v1.s00010g00930,Auxin response factors (ARFs) are transcriptional factors that bind specifically to the DNA sequence 5'-TGTCTC-3' found in the auxin-responsive promoter elements (AuxREs)
Nbe.v1.s00010g00940,Belongs to the glycosyltransferase 2 family
Nbe.v1.s00010g00950,"30S ribosomal protein S6 alpha, chloroplastic-like"
Nbe.v1.s00010g00960,26S proteasome non-ATPase regulatory subunit 8 homolog A-like
Nbe.v1.s00010g00970,E3 ubiquitin-protein ligase
Nbe.v1.s00010g00980,-
Nbe.v1.s00010g00990,aspartic-type endopeptidase activity
Nbe.v1.s00010g01000,-
Nbe.v1.s00010g01010,Protein of unknown function (DUF2439)
Nbe.v1.s00010g01020,Protein of unknown function (DUF1664)
Nbe.v1.s00010g01030,Signal recognition particle 19
Nbe.v1.s00010g01040,RWP-RK domain
Nbe.v1.s00010g01060,Protein NLP7-like isoform X1
Nbe.v1.s00010g01070,Mediates the uptake of pyruvate into mitochondria
Nbe.v1.s00010g01080,Bidirectional sugar transporter
Nbe.v1.s00010g01100,Tetratricopeptide repeat
Nbe.v1.s00010g01110,Beta-amylase
Nbe.v1.s00010g01120,Belongs to the heat shock protein 70 family
Nbe.v1.s00010g01130,belongs to the NAD synthetase family
Nbe.v1.s00010g01140,ABC transporter F family member 3
Nbe.v1.s00010g01150,-
Nbe.v1.s00010g01160,Alpha-trehalose glucohydrolase
Nbe.v1.s00010g01170,Alpha-trehalose glucohydrolase
Nbe.v1.s00010g01180,Alpha-trehalose glucohydrolase
Nbe.v1.s00010g01200,KR domain
Nbe.v1.s00010g01210,"37S ribosomal protein S22, mitochondrial-like"
Nbe.v1.s00010g01220,WD repeat-containing protein 44-like
Nbe.v1.s00010g01230,finger protein
Nbe.v1.s00010g01240,ORMDL family
Nbe.v1.s00010g01250,ADP binding
Nbe.v1.s00010g01260,Zinc knuckle
Nbe.v1.s00010g01270,bHLH-MYC and R2R3-MYB transcription factors N-terminal
Nbe.v1.s00010g01280,aluminum-activated malate transporter
Nbe.v1.s00010g01290,zinc finger
Nbe.v1.s00010g01300,UAS
Nbe.v1.s00010g01310,late blight resistance protein homolog
Nbe.v1.s00010g01320,late blight resistance protein homolog
Nbe.v1.s00010g01330,late blight resistance protein homolog
Nbe.v1.s00010g01340,late blight resistance protein homolog
Nbe.v1.s00010g01350,late blight resistance protein homolog
Nbe.v1.s00010g01380,Protein kinase domain
Nbe.v1.s00010g01390,Protein yippee-like At4g27745
Nbe.v1.s00010g01400,Oligopeptide transporter
Nbe.v1.s00010g01410,F-box only protein 15
Nbe.v1.s00010g01430,F-box only protein 15
Nbe.v1.s00010g01440,-
Nbe.v1.s00010g01450,-
Nbe.v1.s00010g01460,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g01470,-
Nbe.v1.s00010g01480,ATPase family AAA domain-containing protein
Nbe.v1.s00010g01520,-
Nbe.v1.s00010g01530,"Serine/Threonine protein kinases, catalytic domain"
Nbe.v1.s00010g01540,-
Nbe.v1.s00010g01550,OPT oligopeptide transporter protein
Nbe.v1.s00010g01560,Plant specific mitochondrial import receptor subunit TOM20
Nbe.v1.s00010g01570,Alpha/beta hydrolase family
Nbe.v1.s00010g01580,"Protein of unknown function, DUF538"
Nbe.v1.s00010g01590,Alpha/beta hydrolase family
Nbe.v1.s00010g01600,"transposition, RNA-mediated"
Nbe.v1.s00010g01610,protein dimerization activity
Nbe.v1.s00010g01620,Cys/Met metabolism PLP-dependent enzyme
Nbe.v1.s00010g01630,ubiquitin-60S ribosomal protein
Nbe.v1.s00010g01640,Homeobox associated leucine zipper
Nbe.v1.s00010g01650,bHLH-MYC and R2R3-MYB transcription factors N-terminal
Nbe.v1.s00010g01660,Serine hydrolase
Nbe.v1.s00010g01670,Transferase family
Nbe.v1.s00010g01690,Protein FAR-RED IMPAIRED RESPONSE 1-like
Nbe.v1.s00010g01710,Glycosyl hydrolase family 9
Nbe.v1.s00010g01720,Protein BRANCHLESS TRICHOME
Nbe.v1.s00010g01730,Protein of unknown function (DUF4005)
Nbe.v1.s00010g01740,Purple acid phosphatase
Nbe.v1.s00010g01750,snRNA import into nucleus
Nbe.v1.s00010g01760,Glutaredoxin
Nbe.v1.s00010g01770,No apical meristem (NAM) protein
Nbe.v1.s00010g01780,Domain of unknown function (DUF4228)
Nbe.v1.s00010g01790,function
Nbe.v1.s00010g01800,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g01820,Zinc-binding dehydrogenase
Nbe.v1.s00010g01830,-
Nbe.v1.s00010g01840,Belongs to the peptidase C19 family
Nbe.v1.s00010g01850,Glycosyl hydrolases family 17
Nbe.v1.s00010g01860,"Granule-bound starch synthase 1, chloroplastic amyloplastic"
Nbe.v1.s00010g01880,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g01900,-
Nbe.v1.s00010g01910,Eukaryotic protein of unknown function (DUF829)
Nbe.v1.s00010g01920,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g01930,) antiporter
Nbe.v1.s00010g01940,) antiporter
Nbe.v1.s00010g01950,"Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism"
Nbe.v1.s00010g01970,"Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism"
Nbe.v1.s00010g01980,"protein 1, chloroplastic"
Nbe.v1.s00010g01990,-
Nbe.v1.s00010g02000,Strictosidine synthase
Nbe.v1.s00010g02010,Ribonuclease H protein
Nbe.v1.s00010g02020,CAAX protease self-immunity
Nbe.v1.s00010g02030,Holliday junction DNA helicase ruvB N-terminus
Nbe.v1.s00010g02040,Reticulon-like protein
Nbe.v1.s00010g02060,Cellulase (glycosyl hydrolase family 5)
Nbe.v1.s00010g02080,Membrane-associated kinase regulator
Nbe.v1.s00010g02090,-
Nbe.v1.s00010g02110,Late embryogenesis abundant protein
Nbe.v1.s00010g02120,Respiratory burst oxidase homolog protein A
Nbe.v1.s00010g02150,GTP binding protein
Nbe.v1.s00010g02160,Transducin WD40 repeat-like superfamily protein
Nbe.v1.s00010g02170,"WD domain, G-beta repeat"
Nbe.v1.s00010g02180,WRKY transcription factor
Nbe.v1.s00010g02190,Glycosyl hydrolase family 9
Nbe.v1.s00010g02200,WRKY transcription factor
Nbe.v1.s00010g02210,Meiotic recombination protein
Nbe.v1.s00010g02220,G-patch domain
Nbe.v1.s00010g02230,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
Nbe.v1.s00010g02240,Putative cyclase
Nbe.v1.s00010g02250,Domain of unknown function (DUF4283)
Nbe.v1.s00010g02260,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00010g02270,1-amino-cyclopropane-1-carboxylate
Nbe.v1.s00010g02280,1-amino-cyclopropane-1-carboxylate
Nbe.v1.s00010g02290,Monodehydroascorbate reductase
Nbe.v1.s00010g02300,homologous chromosome orientation involved in meiotic metaphase I plate congression
Nbe.v1.s00010g02310,Protein BYPASS1-related
Nbe.v1.s00010g02320,MuDR family transposase
Nbe.v1.s00010g02330,Transcription repressor MYB6-like
Nbe.v1.s00010g02350,Mitogen-activated protein kinase
Nbe.v1.s00010g02360,Glycosyl hydrolases family 28
Nbe.v1.s00010g02370,SPIRAL1-like 5
Nbe.v1.s00010g02380,Ribonuclease H protein
Nbe.v1.s00010g02390,SPIRAL1-like 5
Nbe.v1.s00010g02410,-
Nbe.v1.s00010g02420,-
Nbe.v1.s00010g02430,"Protein of unknown function, DUF604"
Nbe.v1.s00010g02440,"Uso1 / p115 like vesicle tethering protein, head region"
Nbe.v1.s00010g02450,domain associated with HOX domains
Nbe.v1.s00010g02470,Phosphoglycerate mutase family
Nbe.v1.s00010g02480,BTB POZ domain-containing protein
Nbe.v1.s00010g02500,E3 ubiquitin-protein ligase
Nbe.v1.s00010g02520,-
Nbe.v1.s00010g02530,CCT motif
Nbe.v1.s00010g02550,DNA repair helicase
Nbe.v1.s00010g02560,Conserved hypothetical ATP binding protein
Nbe.v1.s00010g02570,Ribonuclease H protein
Nbe.v1.s00010g02580,Ribonuclease H protein
Nbe.v1.s00010g02590,Subunit of clathrin-associated adaptor protein complex that plays a role in protein sorting in the late-Golgi trans-Golgi network (TGN) and or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules
Nbe.v1.s00010g02600,Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues
Nbe.v1.s00010g02610,Sin3 binding region of histone deacetylase complex subunit SAP30
Nbe.v1.s00010g02620,Anaphase-promoting complex subunit 11 RING-H2 finger
Nbe.v1.s00010g02640,ARID/BRIGHT DNA binding domain
Nbe.v1.s00010g02650,"Serine/Threonine protein kinases, catalytic domain"
Nbe.v1.s00010g02660,Belongs to the ubiquitin-conjugating enzyme family
Nbe.v1.s00010g02670,Ribonuclease H protein
Nbe.v1.s00010g02680,ATPases associated with a variety of cellular activities
Nbe.v1.s00010g02690,Domain of unknown function (DUF3458_C) ARM repeats
Nbe.v1.s00010g02700,Hydroxyproline-rich glycoprotein family protein
Nbe.v1.s00010g02710,domain-containing protein
Nbe.v1.s00010g02720,-
Nbe.v1.s00010g02730,cytochrome P450
Nbe.v1.s00010g02740,Mitogen-activated protein kinase kinase kinase
Nbe.v1.s00010g02750,Short-chain dehydrogenase
Nbe.v1.s00010g02760,Belongs to the MIP aquaporin (TC 1.A.8) family
Nbe.v1.s00010g02770,"Presenilin, signal peptide peptidase, family"
Nbe.v1.s00010g02780,"Mur ligase family, catalytic domain"
Nbe.v1.s00010g02790,Protein of unknown function (DUF3741)
Nbe.v1.s00010g02800,GMP synthase C terminal domain
Nbe.v1.s00010g02810,helix loop helix domain
Nbe.v1.s00010g02820,BLOC-1-related complex sub-unit 6
Nbe.v1.s00010g02850,Microtubule binding
Nbe.v1.s00010g02860,Sugar (and other) transporter
Nbe.v1.s00010g02870,Sugar (and other) transporter
Nbe.v1.s00010g02880,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00010g02890,bromo-adjacent homology (BAH) domain-containing protein
Nbe.v1.s00010g02900,Domain of unknown function (DUF3527)
Nbe.v1.s00010g02910,"component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation"
Nbe.v1.s00010g02920,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g02930,-
Nbe.v1.s00010g02940,Conserved gene of
Nbe.v1.s00010g02950,HAD-hyrolase-like
Nbe.v1.s00010g02970,"Glutamate--cysteine ligase, chloroplastic"
Nbe.v1.s00010g02980,PLU-1-like protein
Nbe.v1.s00010g02990,lysine-specific demethylase
Nbe.v1.s00010g03000,-
Nbe.v1.s00010g03010,"transposition, RNA-mediated"
Nbe.v1.s00010g03020,Arabidopsis phospholipase-like protein (PEARLI 4)
Nbe.v1.s00010g03030,Domain of unknown function (DUF296)
Nbe.v1.s00010g03040,ripening-related protein 2
Nbe.v1.s00010g03050,Belongs to the glutathione peroxidase family
Nbe.v1.s00010g03060,Xyloglucan galactosyltransferase
Nbe.v1.s00010g03070,Flavoprotein
Nbe.v1.s00010g03080,Glutathione S-transferase T1-like
Nbe.v1.s00010g03090,Glutathione S-transferase T1-like
Nbe.v1.s00010g03100,E1-E2 ATPase
Nbe.v1.s00010g03120,Reverse transcriptase (RNA-dependent DNA polymerase)
Nbe.v1.s00010g03130,Belongs to the protein kinase superfamily. RIO-type Ser Thr kinase family
Nbe.v1.s00010g03140,-
Nbe.v1.s00010g03150,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g03160,Belongs to the disease resistance NB-LRR family
Nbe.v1.s00010g03170,Conserved gene of
Nbe.v1.s00010g03180,Conserved gene of
Nbe.v1.s00010g03200,LURP-one-related
Nbe.v1.s00010g03220,LURP-one-related
Nbe.v1.s00010g03230,N-terminal C2 in EEIG1 and EHBP1 proteins
Nbe.v1.s00010g03240,"Remorin, C-terminal region"
Nbe.v1.s00010g03250,Pollen-specific protein
Nbe.v1.s00010g03260,Belongs to the tetraspanin (TM4SF) family
Nbe.v1.s00010g03270,selenoprotein
Nbe.v1.s00010g03280,2OG-Fe(II) oxygenase superfamily
Nbe.v1.s00010g03290,Methyl-CpG binding domain
Nbe.v1.s00010g03300,Protein kinase C conserved region 2 (CalB)
Nbe.v1.s00010g03310,clathrin light chain binding
Nbe.v1.s00010g03320,Osmotin-like protein
Nbe.v1.s00010g03340,Myb-like DNA-binding domain
Nbe.v1.s00010g03350,RmlD substrate binding domain
Nbe.v1.s00010g03360,Belongs to the Casparian strip membrane proteins (CASP) family
Nbe.v1.s00010g03370,"Type III restriction enzyme, res subunit"
Nbe.v1.s00010g03390,Transcription factor
Nbe.v1.s00010g03400,Replication factor C
Nbe.v1.s00010g03410,Rhomboid-like protein
Nbe.v1.s00010g03420,Seed storage protein
Nbe.v1.s00010g03440,DNA RNA polymerases superfamily protein
Nbe.v1.s00010g03450,Chromo (CHRromatin Organisation MOdifier) domain
Nbe.v1.s00010g03460,Plant lipid transfer protein / seed storage protein / trypsin-alpha amylase inhibitor domain family
Nbe.v1.s00010g03470,-
Nbe.v1.s00010g03480,Protein of unknown function (DUF4005)
Nbe.v1.s00010g03490,Subtilisin-like protease
Nbe.v1.s00010g03500,hapless 2
Nbe.v1.s00010g03510,Cytochrome p450
Nbe.v1.s00010g03530,GPI transamidase subunit PIG-U
Nbe.v1.s00010g03540,Domain present in ubiquitin-regulatory proteins
Nbe.v1.s00010g03550,Belongs to the GRAS family
Nbe.v1.s00010g03560,iron ion binding
Nbe.v1.s00010g03570,Belongs to the cytochrome P450 family
Nbe.v1.s00010g03580,Belongs to the membrane-bound acyltransferase family
Nbe.v1.s00010g03590,BAG domain
Nbe.v1.s00010g03600,MATE efflux family protein 5-like
Nbe.v1.s00010g03610,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Nbe.v1.s00010g03620,DNA-binding domain in plant proteins such as APETALA2 and EREBPs
Nbe.v1.s00010g03630,Plant transposase (Ptta/En/Spm family)
Nbe.v1.s00010g03650,-
Nbe.v1.s00010g03660,Protein kinase domain
Nbe.v1.s00010g03670,UAA transporter family
Nbe.v1.s00010g03680,Ran-binding domain
Nbe.v1.s00010g03690,"APO protein 1, chloroplastic"
Nbe.v1.s00010g03700,CHCH domain
Nbe.v1.s00010g03710,Pentatricopeptide repeat-containing protein
Nbe.v1.s00010g03740,DNA-directed RNA polymerase
Nbe.v1.s00010g03750,60s ribosomal protein
Nbe.v1.s00010g03760,SPX domain
Nbe.v1.s00010g03770,molybdenum cofactor
Nbe.v1.s00010g03790,Transcription factor
Nbe.v1.s00010g03800,Rhamnose biosynthetic enzyme 1
Nbe.v1.s00010g03810,Hydrolyzes glycerol-phospholipids at the terminal phosphodiesteric bond
Nbe.v1.s00010g03820,KNOX1
Nbe.v1.s00010g03830,MINDY deubiquitinase
Nbe.v1.s00010g03840,WRKY transcription factor
Nbe.v1.s00010g03850,Staygreen protein
Nbe.v1.s00010g03860,Anaphase-promoting complex subunit 4 WD40 domain
Nbe.v1.s00010g03880,Reverse transcriptase-like
Nbe.v1.s00010g03890,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g03900,nuclease activity
Nbe.v1.s00010g03905,isoform X1
Nbe.v1.s00010g03910,isoform X1
Nbe.v1.s00010g03920,Protein of unknown function (DUF1191)
Nbe.v1.s00010g03930,Rare lipoprotein A (RlpA)-like double-psi beta-barrel
Nbe.v1.s00010g03940,Rare lipoprotein A (RlpA)-like double-psi beta-barrel
Nbe.v1.s00010g03950,Pgr5-like
Nbe.v1.s00010g03960,Belongs to the iron ascorbate-dependent oxidoreductase family
Nbe.v1.s00010g03970,Reverse transcriptase (RNA-dependent DNA polymerase)
Nbe.v1.s00010g03990,Subtilase family
Nbe.v1.s00010g04000,-
Nbe.v1.s00010g04020,Subtilisin-like protease
Nbe.v1.s00010g04030,Subtilisin-like protease
Nbe.v1.s00010g04040,Subtilisin-like protease
Nbe.v1.s00010g04050,Subtilisin-like protease
Nbe.v1.s00010g04060,Subtilisin-like protease
Nbe.v1.s00010g04070,Subtilisin-like protease
Nbe.v1.s00010g04080,Subtilisin-like protease
Nbe.v1.s00010g04090,"Copper chaperone for superoxide dismutase, chloroplastic"
Nbe.v1.s00010g04100,NUDIX domain
Nbe.v1.s00010g04120,Enoyl-CoA hydratase/isomerase
Nbe.v1.s00010g04130,-
Nbe.v1.s00010g04140,protein dimerization activity
Nbe.v1.s00010g04150,QLQ
Nbe.v1.s00010g04160,UAA transporter family
Nbe.v1.s00010g04170,Voltage-dependent anion channel
Nbe.v1.s00010g04180,Cell cycle regulated microtubule associated protein
Nbe.v1.s00010g04190,Aminotransferase class I and II
Nbe.v1.s00010g04200,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g04210,Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
Nbe.v1.s00010g04230,Transcription factor that specifically binds AT-rich DNA sequences related to the nuclear matrix attachment regions (MARs)
Nbe.v1.s00010g04240,G-quadruplex DNA unwinding
Nbe.v1.s00010g04250,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Nbe.v1.s00010g04270,Domain of unknown function (DUF4283)
Nbe.v1.s00010g04280,-
Nbe.v1.s00010g04290,Stress-associated protein
Nbe.v1.s00010g04300,-
Nbe.v1.s00010g04310,Protein of unknown function (DUF2499)
Nbe.v1.s00010g04330,SNARE associated Golgi protein
Nbe.v1.s00010g04340,-
Nbe.v1.s00010g04350,"Clp amino terminal domain, pathogenicity island component"
Nbe.v1.s00010g04360,ACT domain
Nbe.v1.s00010g04370,Domain of unknown function (DUF296)
Nbe.v1.s00010g04380,Belongs to the peptidase S14 family
Nbe.v1.s00010g04390,At4g22758-like
Nbe.v1.s00010g04410,Belongs to the sterol desaturase family
Nbe.v1.s00010g04420,-
Nbe.v1.s00010g04430,photo-lyase
Nbe.v1.s00010g04440,Belongs to the STXBP unc-18 SEC1 family
Nbe.v1.s00010g04450,-
Nbe.v1.s00010g04460,Thioredoxin domain-containing protein
Nbe.v1.s00010g04470,Myelodysplasia-myeloid leukemia factor 1-interacting protein
Nbe.v1.s00010g04510,RF-1 domain
Nbe.v1.s00010g04520,Protein of unknown function (DUF1442)
Nbe.v1.s00010g04530,"transferase CAF17 homolog, mitochondrial"
Nbe.v1.s00010g04540,Pentatricopeptide repeat-containing protein
Nbe.v1.s00010g04550,Leucine-rich repeat
Nbe.v1.s00010g04560,Alpha/beta hydrolase family
Nbe.v1.s00010g04570,4-epimerase 5
Nbe.v1.s00010g04590,amine oxidase
Nbe.v1.s00010g04610,amine oxidase
Nbe.v1.s00010g04620,Myb-like DNA-binding domain
Nbe.v1.s00010g04640,FAM10 family protein At4g22670-like
Nbe.v1.s00010g04650,Protease inhibitor seed storage lipid transfer protein family protein
Nbe.v1.s00010g04660,-
Nbe.v1.s00010g04670,Plant invertase/pectin methylesterase inhibitor
Nbe.v1.s00010g04690,Low temperature viability protein
Nbe.v1.s00010g04710,TPR repeat-containing protein At1g05150-like
Nbe.v1.s00010g04740,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Nbe.v1.s00010g04750,"Protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 6, chloroplastic"
Nbe.v1.s00010g04780,Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Nbe.v1.s00010g04790,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g04800,"transposition, RNA-mediated"
Nbe.v1.s00010g04810,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g04830,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g04850,Belongs to the alpha-IPM synthase homocitrate synthase family
Nbe.v1.s00010g04870,Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Nbe.v1.s00010g04880,Lysine-specific histone demethylase
Nbe.v1.s00010g04890,Galactose oxidase-like
Nbe.v1.s00010g04900,Domain of unknown function (DUF1929)
Nbe.v1.s00010g04920,Domain of unknown function (DUF1929)
Nbe.v1.s00010g04930,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00010g04940,Domain of unknown function (DUF1929)
Nbe.v1.s00010g04950,Domain of unknown function (DUF1929)
Nbe.v1.s00010g05040,GAGA binding protein-like family
Nbe.v1.s00010g05050,Transcription factor
Nbe.v1.s00010g05060,Regulator of chromosome condensation (RCC1) repeat
Nbe.v1.s00010g05080,IQ-domain
Nbe.v1.s00010g05090,39S ribosomal protein L53/MRP-L53
Nbe.v1.s00010g05100,domain in TBC and LysM domain containing proteins
Nbe.v1.s00010g05110,Auxin response factors (ARFs) are transcriptional factors that bind specifically to the DNA sequence 5'-TGTCTC-3' found in the auxin-responsive promoter elements (AuxREs)
Nbe.v1.s00010g05150,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g05160,domain in FBox and BRCT domain containing plant proteins
Nbe.v1.s00010g05170,Auxin responsive protein
Nbe.v1.s00010g05180,Seed dormancy control
Nbe.v1.s00010g05200,aspartic-type endopeptidase activity
Nbe.v1.s00010g05210,"Myosin heavy chain, striated muscle"
Nbe.v1.s00010g05220,Auxin responsive protein
Nbe.v1.s00010g05230,5'-3' exoribonuclease
Nbe.v1.s00010g05240,Cytokinin-activating enzyme working in the direct activation pathway. Phosphoribohydrolase that converts inactive cytokinin nucleotides to the biologically active free-base forms
Nbe.v1.s00010g05250,Glycosyl hydrolase family 9
Nbe.v1.s00010g05270,Chloroplast import apparatus Tic20-like
Nbe.v1.s00010g05290,"transposition, RNA-mediated"
Nbe.v1.s00010g05310,Protein disulfide-isomerase LQY1
Nbe.v1.s00010g05320,Tetrapyrrole (Corrin/Porphyrin) Methylases
Nbe.v1.s00010g05330,"TB2/DP1, HVA22 family"
Nbe.v1.s00010g05340,E2F transcription factor CC-MB domain
Nbe.v1.s00010g05350,Eukaryotic initiation factor 3 gamma subunit family protein
Nbe.v1.s00010g05360,zinc finger
Nbe.v1.s00010g05370,zinc finger
Nbe.v1.s00010g05390,ER membrane protein complex subunit 6-like
Nbe.v1.s00010g05420,-
Nbe.v1.s00010g05430,WEB family protein At1g75720-like
Nbe.v1.s00010g05440,Belongs to the hexokinase family
Nbe.v1.s00010g05460,Clathrin adaptor complex small chain
Nbe.v1.s00010g05470,isoform X1
Nbe.v1.s00010g05490,Belongs to the universal ribosomal protein uS9 family
Nbe.v1.s00010g05500,-
Nbe.v1.s00010g05510,Belongs to the DEAD box helicase family
Nbe.v1.s00010g05530,Thaumatin family
Nbe.v1.s00010g05540,-
Nbe.v1.s00010g05560,Ribonuclease H protein
Nbe.v1.s00010g05580,Thaumatin family
Nbe.v1.s00010g05590,Protein of unknown function (DUF615)
Nbe.v1.s00010g05600,"Chaperone protein dnaJ 11, chloroplastic-like"
Nbe.v1.s00010g05610,"Chaperone protein dnaJ 11, chloroplastic-like"
Nbe.v1.s00010g05630,Protein of unknown function (DUF668)
Nbe.v1.s00010g05650,"Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain"
Nbe.v1.s00010g05660,Brain and reproductive organ-expressed protein (BRE)
